rule,segment,parameter,f1_range,optimal_adjustment,optimal_f1
AML-CHG,CORP,pattern_deviation,0.0608561113976277,3,0.3465703971119134
AML-FTF,CORP,transaction_velocity,0.0605715216152406,4,0.3380281690140845
AML-MNT,IND,transaction_frequency,0.05084521339983228,2,0.34532374100719426
AML-AUG,CORP,consecutive_inc,0.05072791976706564,5,0.34163701067615654
AML-CHG,IND,pattern_deviation,0.05065500410963075,2,0.33217993079584773
AML-FTF,CORP,high_risk_country_count,0.04863221884498481,8,0.3404255319148936
AML-CHG,CORP,activity_ratio_change,0.047927609340059296,1,0.3344947735191638
AML-CHG,IND,volume_increase,0.0474259974259974,3,0.3357142857142857
AML-MNT,CORP,transaction_frequency,0.0446673137064596,3,0.34163701067615654
AML-MNT,CORP,destination_count,0.044283413848631326,6,0.34057971014492755
AML-AUG,IND,seasonal_factor,0.04292363561966145,1,0.32280701754385965
AML-CHG,CORP,volume_increase,0.04195566146121443,6,0.3380281690140845
AML-AUG,IND,peak_deviation,0.04187785625259666,2,0.33103448275862074
AML-FTF,IND,foreign_transaction_ratio,0.040221870379884894,1,0.3250883392226149
AML-AUG,CORP,peak_deviation,0.038766757143153086,3,0.33217993079584773
AML-FTF,IND,transaction_velocity,0.03797909407665506,2,0.34285714285714286
AML-MNT,IND,destination_count,0.0374079338415817,1,0.3309859154929578
AML-AUG,IND,consecutive_inc,0.03735959378365905,1,0.3298969072164949
AML-TUA,CORP,transaction_count,0.037305950662714915,1,0.33451957295373663
AML-FTF,CORP,foreign_transaction_ratio,0.03623985336475516,1,0.32280701754385965
AML-TUA,IND,transaction_count,0.03594460774999725,3,0.33935018050541516
AML-AUG,CORP,seasonal_factor,0.03168153391955819,1,0.3252595155709343
AML-FTF,IND,high_risk_country_count,0.03100040338846305,2,0.31756756756756754
AML-CHG,IND,activity_ratio_change,0.02851654846335705,1,0.32638888888888895
AML-TUA,CORP,activity_value,0.02129781323456087,1,0.33812949640287776
AML-TUA,IND,avg_transaction_size,0.02129781323456087,1,0.33812949640287776
AML-TUA,CORP,avg_transaction_size,0.020010422094840996,1,0.3368421052631579
AML-MNT,IND,activity_value,0.015348247627530842,1,0.33217993079584773
AML-MNT,CORP,activity_value,0.010570452062999836,1,0.3274021352313167
AML-TUA,IND,activity_value,0.00955720572057206,1,0.32638888888888895
